timestamp,latitude,longitude,altitude
16799433.86,0.000921754,-0.000763979,-0.441871067
16799434.08,0.000936996,-0.000766792,-0.441834727
16799434.08,0.000924595,-0.00076427,-0.441799003
16799434.08,0.00092892,-0.000767945,-0.44177639
16799434.1,0.000925173,-0.000766423,-0.441759633
16799434.13,0.000934069,-0.000763188,-0.441692366
16799434.13,0.000921861,-0.000766193,-0.441643657
16799434.19,0.000930312,-0.000766389,-0.441605582
16799434.24,0.000928677,-0.000768551,-0.441633496
16799434.37,0.000930482,-0.000766004,-0.441598906
16799434.38,0.000932819,-0.00077428,-0.441680124
16799434.38,0.000932614,-0.000766285,-0.441663337
16799434.38,0.000924959,-0.000754235,-0.44160492
16799434.42,0.000921836,-0.00075788,-0.441603731
16799434.44,0.000929145,-0.000764543,-0.441587711
16799434.47,0.000926875,-0.000765069,-0.441573227
16799434.5,0.000920157,-0.000771186,-0.441603648
16799434.54,0.000922124,-0.000772219,-0.441588306
16799434.54,0.000927151,-0.000761643,-0.441585139
16799434.69,0.000925976,-0.000766114,-0.441657461
16799434.69,0.000917077,-0.000760566,-0.441641739
16799434.7,0.000929544,-0.000767821,-0.441637304
16799434.72,0.000930113,-0.000758647,-0.441580304
16799434.76,0.000923349,-0.000765386,-0.441558813
16799434.76,0.00092249,-0.000760035,-0.441549345
16799434.78,0.000928975,-0.000770631,-0.441548567
16799434.82,0.000918931,-0.000770045,-0.441556309
16799434.96,0.000926969,-0.000765768,-0.441667131
16799434.96,0.000922811,-0.000759873,-0.441651862
16799434.96,0.000922537,-0.000764357,-0.441635127
16799434.99,0.000927597,-0.000765555,-0.441612231
16799435.02,0.000928337,-0.000774005,-0.441600308
16799435.02,0.000932339,-0.000760573,-0.441590442
16799435.08,0.000924366,-0.000773376,-0.441609735
16799435.08,0.000928253,-0.000760789,-0.441607707
16799435.12,0.000927819,-0.000768962,-0.441579502
16799435.27,0.000931466,-0.000763051,-0.442113935
16799435.27,0.000932094,-0.000762883,-0.442162702
16799435.28,0.00092998,-0.000765048,-0.442264072
16799435.3,0.000926335,-0.000772087,-0.442697408
16799435.3,0.000927109,-0.000766871,-0.443850613
16799435.37,0.000936787,-0.000764226,-0.444779471
16799435.37,0.00092302,-0.000760269,-0.446081244
16799435.4,0.000922791,-0.000758495,-0.447470859
16799435.58,0.000932909,-0.000761732,-0.448904329
16799435.58,0.00091586,-0.000770886,-0.454191707
16799435.58,0.000918887,-0.00076044,-0.454401529
16799435.59,0.000924555,-0.000769429,-0.454927961
16799435.59,0.000926168,-0.000766585,-0.45569977
16799435.61,0.000914686,-0.000769209,-0.457413552
16799435.64,0.000914862,-0.000770258,-0.459726215
16799435.67,0.000921597,-0.000756059,-0.461231302
16799435.7,0.000915918,-0.000764899,-0.464083727
16799435.86,0.000909747,-0.000760746,-0.471214795
16799435.87,0.00091378,-0.0007654,-0.471543044
16799435.87,0.000920277,-0.000762985,-0.472106573
16799435.88,0.000916801,-0.000760728,-0.473465419
16799435.89,0.000914442,-0.000768862,-0.476146814
16799435.96,0.000917323,-0.000769282,-0.478311268
16799435.96,0.000918359,-0.000765842,-0.481099345
16799435.99,0.000904238,-0.000767723,-0.484010163
16799436.03,0.000907574,-0.00075906,-0.486338849
16799436.18,0.000905099,-0.00076335,-0.495188167
16799436.19,0.00090413,-0.000760971,-0.495556784
16799436.19,0.000904593,-0.000769022,-0.496153275
16799436.19,0.000909682,-0.000764602,-0.497834375
16799436.21,0.000907349,-0.000758807,-0.501248532
16799436.25,0.000895812,-0.000766039,-0.503770523
16799436.28,0.0009111,-0.000758744,-0.507363668
16799436.31,0.000899426,-0.000765957,-0.510335646
16799436.47,0.000891953,-0.000773495,-0.520487698
16799436.47,0.000890132,-0.000770498,-0.520949334
16799436.47,0.000886161,-0.00075575,-0.521887637
16799436.48,0.000885784,-0.000762358,-0.524181081
16799436.51,0.000890237,-0.000767086,-0.526855775
16799436.53,0.000889042,-0.000760518,-0.531026757
16799436.57,0.000886373,-0.000758757,-0.534228725
16799436.6,0.000897023,-0.000763908,-0.538530974
16799436.8,0.000890702,-0.000757539,-0.541621407
16799436.81,0.000882956,-0.000761437,-0.552669288
16799436.81,0.000882527,-0.000752322,-0.553378486
16799436.82,0.000882031,-0.000761792,-0.553872359
16799436.84,0.000884502,-0.000766235,-0.556247116
16799436.84,0.000882824,-0.000766974,-0.561076997
16799436.88,0.000890861,-0.000772434,-0.564259825
16799436.91,0.000883431,-0.000758282,-0.56852498
16799437.06,0.000879769,-0.000760168,-0.57982664
16799437.07,0.000872635,-0.00076355,-0.580336175
