timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,compass
17234846.08,3.138852119,1557610.375,-1277423,42327.64453,0.009199517,-0.001869628,0.004808148
17234846.15,3.138852119,-0.219495624,-0.002147567,9.797777176,0.001122215,-0.003023249,0.002079662
17234846.15,3.138852119,-0.224793047,3.14E-05,9.81449604,0.006288443,0.001726425,-0.00428623
17234846.15,3.138852119,-0.227236077,-1.51E-05,9.926997185,0.002526668,-0.001480512,0.003466258
17234846.15,3.138852119,-0.540188968,0.158993155,9.600149155,0.002700321,-0.001089236,-0.008306756
17234846.18,3.138852119,-0.25968653,0.000159911,9.593823433,0.004829532,-0.001369072,-0.004015899
17234846.18,3.138852119,-0.244283736,9.60E-06,9.798316002,-0.00594898,0.00703461,0.000366138
17234846.22,3.138852119,-0.2645486,0.019822014,9.79936409,-0.00090814,-0.000154639,0.006611356
17234846.22,3.138852119,-0.204456598,-0.019822912,9.806854248,-0.005656695,-0.007304914,0.000175138
17234846.26,3.138852119,-0.244442865,8.91E-05,9.794830322,-0.001806092,-0.001199513,0.011278002
17234846.28,3.138852119,-0.201496467,0.000236186,9.677987099,0.001763263,-0.00290404,-0.001169426
17234846.28,3.138852119,-0.245811686,0.040099967,9.854474068,-0.004429868,-0.000471072,-0.002102186
17234846.39,3.138852119,-0.1847765,-0.019936249,9.813932419,0.001190867,-0.005717412,0.001587827
17234846.39,3.138852119,-0.214770108,-0.009814851,9.815458298,-0.000811013,-0.000853562,0.000653036
17234846.39,3.138852119,-0.227431357,0.040044669,9.929947853,-0.005243725,0.000550195,-0.007602495
17234846.39,3.138852119,0.019735362,0.080798335,9.619093895,0.000552598,-0.009096247,-0.003272347
17234846.41,3.138852119,-0.143337354,-0.039642025,9.761907578,-0.003408138,-0.008466589,-0.004503601
17234846.42,3.138852119,-0.219275653,0.020092778,9.579388618,4.16E-05,-0.004048827,-0.007800006
17234846.45,3.138852119,-0.244820073,0.019999549,9.820217133,0.004471999,0.002028586,-0.003864971
17234846.45,3.138852119,-0.204253435,7.23E-05,9.796377182,-0.001094123,-0.007173469,-0.007225048
17234846.49,3.138852119,-0.244144067,-0.019904962,9.790703773,0.010118764,0.000685228,-0.006016585
17234846.51,3.138852119,-0.204994753,0.000175246,9.835441589,-0.00283646,0.006412309,-0.003125491
17234846.51,3.138852119,-0.245960757,0.020091722,9.864578247,-0.00714311,-0.005988517,0.010487296
17234846.55,3.138852119,-0.263980061,0.039913576,9.782044411,0.00184549,-0.004531625,-0.001451912
17234846.55,3.138852119,-0.224907786,-0.020050185,9.821893692,-0.007020576,-0.004314223,0.00222624
17234846.59,3.138852119,-0.184436962,-0.019833853,9.803928375,0.001412073,0.008831928,0.000305858
17234846.61,3.138852119,-0.264956206,0.019937232,9.821577072,-0.006514753,0.004134269,-0.008349154
17234846.7,3.138852119,-0.204082578,-0.01980539,9.792327881,0.004383791,0.001895248,0.006310386
17234846.7,3.138852119,-0.226999357,0.002461975,9.809864998,0.000158709,-0.003987464,0.003509007
17234846.71,3.138852119,-0.226595521,3.29E-07,9.892270088,0.006025453,-0.000976043,-0.008570873
17234846.71,3.138852119,-0.22400555,8.69E-05,9.783666611,-0.002692355,0.005801009,0.000203891
17234846.72,3.138852119,-0.304844707,-0.000245003,9.819348335,-0.002525957,0.003878739,0.003198476
17234846.74,3.138852119,-0.177729502,0.000285401,9.513951302,0.00393275,0.000249399,0.001935341
17234846.74,3.138852119,-0.264115006,0.040069364,9.79274559,-0.007599308,-0.001194287,-9.34E-05
17234846.76,3.138852119,-0.207666442,-0.040060773,9.94580555,-0.001411981,-0.00112147,-0.006141091
17234846.8,3.138852119,-0.221487537,0.020237565,9.663952827,-0.006525418,-0.005670227,0.003207557
17234846.82,3.138852119,-0.264597386,0.019902229,9.804680824,-0.009581626,0.002466434,0.003343868
17234846.82,3.138852119,-0.224531367,0.000178051,9.803748131,-0.003642779,0.004297471,0.004214705
17234846.86,3.138852119,-0.244826868,0.000147699,9.822703362,0.007298005,0.000900208,-0.00698337
17234846.88,3.138852119,-0.20522131,0.0003612,9.837450027,-0.001212681,0.003355574,0.002639876
17234846.9,3.138852119,-0.264148951,0.039918434,9.787611008,-0.001644896,0.003000123,0.007933887
17234846.9,3.138852119,-0.247661382,-0.000149941,9.954464912,0.002004246,-0.00219339,0.005564615
17234846.99,3.138852119,-0.225504801,0.000141683,9.746939659,0.005528907,0.006492825,-0.002150318
17234846.99,3.138852119,-0.267314285,0.039942648,9.924823761,-0.000628114,0.001207099,3.93E-08
17234847.01,3.138852119,-0.060890988,-0.319661945,9.694834709,0.00628825,0.002953983,0.00273755
17234847.01,3.138852119,-0.38289845,0.079738118,9.728650093,-0.0013651,-0.001991186,-0.000694731
17234847.04,3.138852119,-0.25884375,0.09992113,9.552625656,-0.001119423,-0.005773274,-0.002946866
17234847.05,3.138852119,-0.264235407,0.03994168,9.792658806,-0.007017672,0.004560646,0.002750408
17234847.05,3.138852119,-0.22425884,7.34E-05,9.799947739,0.000928378,0.002320379,-0.003295577
17234847.07,3.138852119,-0.20560354,-0.019733781,9.853943825,0.004532451,0.006252069,0.000780392
17234847.11,3.138852119,-0.164896607,-0.039607909,9.835830688,-0.00808228,-0.002838516,-0.004169562
17234847.11,3.138852119,-0.223876759,9.02E-06,9.779967308,-0.00292098,0.008158226,0.002347901
17234847.13,3.138852119,-0.224752039,-0.019902304,9.81430912,-0.000173851,-0.002628355,0.000873075
17234847.17,3.138852119,-0.225579873,-4.55E-05,9.84869957,0.004941932,-0.001547968,-0.001812983
17234847.19,3.138852119,-0.204280511,-0.020037409,9.799530983,-0.007522199,0.007966395,-0.006883208
17234847.21,3.138852119,-0.224156797,-0.039970476,9.800293922,0.011197406,-4.65E-05,0.005600477
17234847.21,3.138852119,-0.224781692,9.68E-05,9.821633339,-0.002257141,-0.006054963,-0.012108034
17234847.3,3.138874054,5.436479568,0.008153184,9.768019676,-0.000966047,-0.012432859,0.00923058
17234847.3,3.138852119,11.74147606,-0.007346703,9.85962677,-0.003718599,-0.006376758,-0.002228572
