timestamp,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,control_steer
18155908.19,0.012865452,4.694283009,-0.107757173,0.191845059,-0.000323272,0.000102971,1.07E-06
18155908.29,0.013212328,4.821391106,-0.111250445,0.204429284,-0.00051278,0.000108536,1.07E-06
18155908.38,0.013664165,4.986317158,-0.114521347,0.177938133,-0.000431121,0.000111913,1.07E-06
18155908.48,0.014044205,5.125379086,-0.105147235,0.310102403,-0.001168343,0.00012241,1.07E-06
18155908.6,0.014493109,5.289047718,-0.111493357,0.34134841,-0.000803209,0.000131572,1.07E-06
18155908.68,0.014930454,5.44929409,-0.115809992,0.312454522,-0.000669631,0.00033361,1.07E-06
18155908.92,0.014345863,5.23331356,-0.111406066,-0.843977153,0.002327771,-3.40E-05,1.67E-09
18155909.01,0.014193707,5.177994251,-0.110220887,-0.343917012,0.001046182,-4.84E-06,1.67E-09
18155909.14,0.014007788,5.110360146,-0.105726555,-0.310724646,0.000927159,-2.01E-06,1.67E-09
18155909.25,0.013395359,4.890891552,-0.103600301,-0.558412135,0.00152982,0.000321952,3.46E-06
18155909.35,0.012926619,4.718187809,-0.083867177,-0.016742334,0.000233291,0.000123031,1.07E-06
18155909.45,0.01272097,4.639083862,-0.077753879,0.528118432,-0.001371763,-0.000208583,-2.38E-06
18155909.55,0.012735649,4.646461487,-0.076835938,0.855181813,-0.002198585,-2.17E-05,1.91E-09
18155909.63,0.012670794,4.623119354,-0.078044415,0.753903568,-0.00205551,-2.21E-06,1.91E-09
18155909.77,0.012669038,4.62247467,-0.077197239,0.766162872,-0.001974594,-2.51E-06,1.91E-09
18155909.85,0.01282606,4.679933071,-0.081019267,0.845760763,-0.002268334,-9.54E-07,1.91E-09
18155909.95,0.012914862,4.712467194,-0.075944677,0.528898716,-0.001403244,-3.02E-07,1.91E-09
18155910.04,0.013016341,4.749233246,-0.075317882,0.205503717,-0.000511556,1.28E-08,1.91E-09
18155910.12,0.013092005,4.776636124,-0.062151216,0.37975207,-0.001063279,4.89E-07,1.91E-09
18155910.21,0.013149088,4.797660828,-0.059160694,0.440008193,-0.00109626,-1.83E-06,1.91E-09
18155910.3,0.01321568,4.822199345,-0.058601305,0.461558819,-0.001204277,-9.78E-07,1.91E-09
18155910.39,0.013278276,4.844955444,-0.058728125,0.462228864,-0.001271681,2.76E-07,1.91E-09
18155910.49,0.013334988,4.865508556,-0.05920019,0.458366513,-0.001273813,4.24E-07,1.91E-09
18155910.57,0.013399845,4.889178753,-0.061925642,0.453932852,-0.001231378,1.77E-07,1.91E-09
18155910.66,0.013403442,4.886722565,-0.060483132,0.360477895,-0.001001194,-0.000302498,-3.46E-06
18155910.79,0.01333816,4.864391804,-0.055364132,-0.02239717,9.49E-05,-0.000130487,-1.07E-06
18155910.89,0.013307197,4.852627754,-0.048244741,0.035755832,-2.53E-06,-0.000112837,-1.07E-06
18155910.96,0.013285458,4.844465256,-0.038305212,0.305734396,-0.000750614,-0.000111837,-1.07E-06
18155911.07,0.013229588,4.827784538,-0.03486146,0.345181435,-0.000758599,0.000185859,2.39E-06
18155911.2,0.013151536,4.797503471,-0.036068529,0.368045866,-0.001074092,1.63E-05,1.43E-09
18155911.28,0.013092562,4.775854588,-0.036062103,0.414878458,-0.001081564,3.98E-07,1.43E-09
18155911.39,0.01305203,4.760893822,-0.034944568,0.440680861,-0.001098664,-8.18E-07,1.43E-09
18155911.5,0.013009583,4.745333672,-0.037898134,0.454160124,-0.001240958,-7.01E-07,1.43E-09
18155911.57,0.013053401,4.757243156,-0.033038173,0.302304596,-0.001029046,-0.000320123,-3.46E-06
18155911.72,0.01310445,4.78320694,-0.029114312,0.206557915,-0.000303909,0.000291875,4.11E-06
18155911.8,0.013177337,4.807471752,-0.019517248,0.390755087,-0.001007205,7.43E-05,5.38E-07
18155911.89,0.013209254,4.819264889,-0.013001291,0.450141251,-0.001251253,5.74E-05,5.38E-07
18155912.01,0.013233509,4.828129292,-0.013525052,0.456994861,-0.001279643,5.53E-05,5.38E-07
18155912.1,0.013253614,4.835644245,-0.014436699,0.449598312,-0.001339383,5.52E-05,5.38E-07
18155912.2,0.013251893,4.833086967,-0.013061613,0.409216404,-0.001204598,-0.00010107,-1.19E-06
18155912.34,0.013210889,4.821233273,-0.015253004,0.378195912,-0.00101254,0.000151288,1.73E-06
18155912.45,0.013186089,4.81102562,-0.014012356,0.309398293,-0.000918499,6.31E-05,5.38E-07
18155912.55,0.013166578,4.803943157,-0.008698739,0.035477061,-6.03E-05,5.58E-05,5.38E-07
18155912.65,0.013148154,4.797194481,0.002125062,0.2129841,-0.000587082,5.48E-05,5.38E-07
18155912.73,0.013128132,4.789814472,0.008324971,0.379822731,-0.00100419,5.49E-05,5.38E-07
18155912.82,0.013113168,4.784805298,0.010592836,0.431274563,-0.001138596,5.43E-05,5.38E-07
18155912.96,0.013097311,4.77928257,0.009531708,0.454490691,-0.001260234,5.46E-05,5.38E-07
18155913.03,0.013081253,4.773534775,0.007630831,0.459109604,-0.001220045,5.43E-05,5.39E-07
18155913.17,0.013070819,4.769742489,0.009711999,0.457024515,-0.00126233,5.42E-05,5.39E-07
18155913.24,0.013056637,4.764549255,0.006553282,0.452447981,-0.001225385,5.43E-05,5.39E-07
