timestamp,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,control_throttle,control_steer,control_brake,control_hand_brake,control_reverse,control_manual_gear_shift,control_gear
18155904.7401528,-6.994395334913861e-06,-9.215920727001503e-05,-0.005303198471665382,-0.0002932562492787838,-0.003863988444209099,-0.2223488986492157,-0.0007931489963084459,-0.0016122428933158517,-0.00027107930509373546,-85.14686584472656,-103.282470703125,-0.4489133059978485,-1.2020585536956787,89.84300231933594,-0.0015868740156292915,0.699999988079071,-1.7285942703892943e-06,0.0,False,False,False,0
18155904.7701789,-9.698857866169419e-06,-2.8590558940777555e-05,-0.002528356621041894,-9.003261220641434e-05,0.0021162249613553286,0.09237556904554367,-0.000549224903807044,-0.002570844953879714,-0.0002549378259573132,-85.14686584472656,-103.282470703125,-0.44898444414138794,-1.2020585536956787,89.84300231933594,-0.0015868740156292915,0.699999988079071,-5.365610036278667e-07,0.0,False,False,False,0
18155904.7965406,-1.2182957107143011e-05,-6.679951911792159e-05,-0.004059771075844765,-9.428359044250101e-05,-0.0014502150006592274,-0.0581245943903923,-0.0009135077125392854,-0.0033761560916900635,-0.00022960836940910667,-85.14686584472656,-103.282470703125,-0.44912829995155334,-1.2020585536956787,89.84300231933594,-0.0015868740156292915,0.699999988079071,-5.366206323742517e-07,0.0,False,False,False,0
18155904.8073853,-1.2567628800752573e-05,2.96992056973977e-05,0.00016775463882368058,-3.547682354110293e-05,0.008899714797735214,0.38988879323005676,-0.000265747046796605,-0.0036141183227300644,-0.00023121772392187268,-85.14686584472656,-103.282470703125,-0.4491313099861145,-1.2020858526229858,89.84300231933594,-0.0014037525979802012,0.699999988079071,-5.366206323742517e-07,0.0,False,False,False,0
18155904.9197495,-1.4134158845990896e-05,6.65146071696654e-05,0.001719271531328559,-1.472206804464804e-05,-0.0003685274859890342,-0.015477359294891357,-0.00019833061378449202,-0.004067425150424242,-0.00022329413332045078,-85.14686584472656,-103.282470703125,-0.44907477498054504,-1.2020858526229858,89.84300231933594,-0.0014037525979802012,0.699999988079071,-5.367398330236028e-07,0.0,False,False,False,0
18155904.9682969,-1.2355642866168637e-05,3.235012263758108e-05,0.00046734686475247145,3.6640594771597534e-05,-0.0007038491894491017,-0.025791876018047333,-0.00020691003010142595,-0.0036672032438218594,-0.0002151807420887053,-85.14686584472656,-103.282470703125,-0.4492233991622925,-1.202147364616394,89.8429946899414,-0.001007087528705597,0.699999988079071,-5.36799404926569e-07,0.0,False,False,False,0
18155905.0186485,-1.1776617611758411e-05,6.754130299668759e-05,0.0020150637719780207,1.1502997949719429e-05,0.0006991130067035556,0.03074716404080391,-5.494333163369447e-05,-0.003456341801211238,-0.00022213619376998395,-85.14686584472656,-103.282470703125,-0.44913309812545776,-1.202147364616394,89.8429946899414,-0.0008239661692641675,0.699999988079071,-5.36859033672954e-07,0.0,False,False,False,0
18155905.0186485,-1.1776617611758411e-05,6.754130299668759e-05,0.0020150637719780207,1.1502997949719429e-05,0.0006991130067035556,0.03074716404080391,-5.494333163369447e-05,-0.003456341801211238,-0.00022213619376998395,-85.14686584472656,-103.282470703125,-0.44913309812545776,-1.202147364616394,89.8429946899414,-0.0008239661692641675,0.699999988079071,-5.36859033672954e-07,0.0,False,False,False,0
18155905.0713907,-1.0188894520979375e-05,0.00014421105151996017,0.005271205212920904,3.010078398801852e-05,0.0014535404043272138,0.061731427907943726,0.0005290311528369784,-0.0029807754326611757,-0.0002458461094647646,-85.1468505859375,-103.282470703125,-0.4488223195075989,-1.202120065689087,89.84300231933594,-0.0006713205366395414,0.699999988079071,-5.369186624193389e-07,0.0,False,False,False,0
18155905.116071,-8.740876182855573e-06,9.25084896152839e-05,0.002990717301145196,3.240632213419303e-05,-0.00115709169767797,-0.05103680491447449,0.00016875535948202014,-0.0024822019040584564,-0.00025508805993013084,-85.1468505859375,-103.282470703125,-0.4486389458179474,-1.202120065689087,89.84300231933594,-0.0005492573836818337,0.699999988079071,1.191616092910408e-06,0.0,False,False,False,0
18155905.1633251,-7.76696288085077e-06,3.6451219784794375e-05,0.0005907444283366203,2.0612576918210834e-05,-0.0011864349944517016,-0.05079469084739685,-9.885264444164932e-05,-0.0021522443275898695,-0.0002558175183366984,-85.1468505859375,-103.282470703125,-0.4486166536808014,-1.202120065689087,89.84300231933594,-0.0005492573836818337,0.699999988079071,-4.768371808516747e-10,0.0,False,False,False,0
18155905.2071075,-6.421658781619044e-06,1.974642145796679e-05,-0.00011018774239346385,3.072129766223952e-05,-0.00038146995939314365,-0.016006452962756157,-0.000148418199387379,-0.0017628753557801247,-0.0002599307626951486,-85.1468505859375,-103.282470703125,-0.44863322377204895,-1.202120065689087,89.84300231933594,-0.0005492573836818337,0.699999988079071,-4.768371808516747e-10,0.0,False,False,False,0
18155905.2071075,-6.421658781619044e-06,1.974642145796679e-05,-0.00011018774239346385,3.072129766223952e-05,-0.00038146995939314365,-0.016006452962756157,-0.000148418199387379,-0.0017628753557801247,-0.0002599307626951486,-85.1468505859375,-103.282470703125,-0.44863322377204895,-1.202120065689087,89.84300231933594,-0.0005492573836818337,0.699999988079071,-4.768371808516747e-10,0.0,False,False,False,0
